Complexity,Loss,Equation
1,0.6670267,"1.6196289"
3,0.52894026,"acosh_abs(log2_abs(redshift))"
5,0.35655835,"acosh_abs(log2_abs(square(acosh_abs(redshift))))"
6,0.2469533,"exp(quart(cos(acosh_abs(log2_abs(redshift)))))"
7,0.127808,"exp(quart(cos(acosh_abs(redshift / 0.20071986))))"
8,0.08907896,"exp(quart(cos(acosh_abs(tanh(redshift) / 0.14487353))))"
9,0.08330231,"exp(cube(square(cos(acosh_abs(tanh(redshift) / -0.1323454)))))"
10,0.079571106,"exp(sinh(cube(quart(cos(acosh_abs(tanh(redshift) / 0.12048989))))))"
11,0.07164073,"exp(sqrt_abs(sinh(quart(quart(cos(acosh_abs(tanh(redshift) / 0.13170093)))))))"
12,0.0660243,"exp(sqrt_abs(sinh(quart(quart(cos(acosh_abs(tanh(sinh(redshift)) / 0.13170093)))))))"
13,0.059543185,"exp(sqrt_abs(sinh(quart(mod(quart(cos(acosh_abs(tanh(redshift) / 0.13441944))), 1.0)))))"
14,0.05109959,"exp(sqrt_abs(sinh(quart(mod(quart(cos(acosh_abs(tanh(sinh(redshift)) / 0.13361567))), 1.0)))))"
15,0.049724415,"exp(sqrt_abs(asinh(tan(quart(mod(quart(cos(acosh_abs(tanh(sinh(redshift)) / 0.1340179))), 1.0))))))"
16,0.049412653,"exp(sqrt_abs(asinh(tan(quart(mod(quart(cos(acosh_abs(tanh(sinh(redshift)) / atan(0.1340179)))), 1.0))))))"
18,0.049073275,"exp(sinh(sqrt_abs(quart(mod(quart(cos(acosh_abs(tanh(sinh(redshift)) / 0.13361567))), cosh(redshift))) * asinh(-1.0908952))))"
