Complexity,Loss,Equation
1,641.3541,"30.029942"
3,390.44086,"(pt2 + pt1)"
5,387.1254,"(pt2 + (pt1 + 1.8196322))"
6,374.9171,"(pt2 + (pt1 + square(eta2)))"
7,356.39658,"(pt1 + exp(abs(eta1 - eta2)))"
8,198.92,"((pt2 + pt1) + cosh(eta1 - eta2))"
9,191.47438,"(pt2 + (pt1 + sinh(abs(eta1 - eta2))))"
10,173.06729,"(pt2 + (pt1 + cube(pow_abs(eta1 - eta2, 0.87442553))))"
11,155.82585,"(((pt2 + cube(abs(eta1 - eta2))) / 1.4463773) + pt1)"
12,116.63976,"(pt2 + ((pt1 + square(exp(sqrt_abs(eta1 - eta2)))) + -14.135289))"
13,115.83578,"abs(pt2 + ((pt1 + square(exp(sqrt_abs(eta1 - eta2)))) + -14.180055))"
14,115.26288,"(pt2 + (((pt1 * 1.0954132) + square(exp(sqrt_abs(eta1 - eta2)))) - 15.5082445))"
15,112.0745,"(pt2 + (pt1 + (square(exp(sqrt_abs((eta1 - eta2) * tanh(pt1)))) - 14.135393)))"
16,107.98575,"(pt2 + (pt1 + (square(exp(sqrt_abs((eta1 - eta2) * tanh(asinh(pt1))))) - 14.135393)))"
18,106.99041,"(pt2 + (pt1 + (square(exp(sqrt_abs((eta1 - eta2) * pow_abs(atan(log_abs(pt1)), 0.31300122)))) - 14.135393)))"
19,106.2989,"abs(pt2 + (pt1 + (square(exp(sqrt_abs((eta1 - eta2) * pow_abs(tanh(log_abs(pt1)), 0.31300122)))) - 14.135393)))"
