Complexity,Loss,Equation
1,638.4906,"30.062382"
3,390.17075,"(pt1 + pt2)"
5,386.9411,"((pt1 + pt2) - -1.7956895)"
6,374.74548,"(pt1 + (pt2 + square(eta2)))"
7,364.67865,"(pt2 + exp(abs(eta1 - eta2)))"
8,200.41066,"((pt1 + pt2) + cosh(eta1 - eta2))"
9,192.9724,"((pt1 + pt2) + sinh(abs(eta1 - eta2)))"
10,182.70537,"((pt1 + pt2) + square(pow_abs(eta1 - eta2, 1.3748043)))"
11,180.33337,"(((pt1 + -2.5509155) + pt2) + sinh(abs(eta1 - eta2)))"
12,118.786865,"(((pt1 + pt2) - 10.374627) + (square(eta1 - eta2) / 0.32156202))"
16,118.78683,"((((pt1 + pt2) - 3.7997832) + (square((eta1 - eta2) * 1.7637551) + -2.967507)) + -3.611262)"
17,117.45654,"(((pt1 + pt2) - asinh(quart(log_abs(py1 * 3.1423765e-6)))) + square((eta1 - eta2) * 1.7645496))"
18,117.34367,"(((pt1 + pt2) - square(-3.611262)) + (square((eta1 - eta2) * 1.7637551) + abs(abs(log_abs(py1)))))"
