Complexity,Loss,Equation
1,0.66830397,"1.6241919"
3,0.47163936,"sqrt_abs(log_abs(redshift))"
5,0.28366923,"sinh(cosh(pow_abs(7.6060304e-11, redshift)))"
6,0.17369868,"sinh(cosh(sinh(pow_abs(7.6060304e-11, redshift))))"
7,0.13001165,"asinh(cosh(asinh(log_abs(redshift) + 1.6326354)))"
8,0.12069658,"asinh(cosh(asinh(log_abs(sinh(redshift)) + 1.4873043)))"
9,0.11977547,"asinh(cosh(asinh(log_abs(mod(redshift, MJD)) + 1.4722229)))"
10,0.08848686,"(cosh(cube(sinh(pow_abs(9.831923e-5, redshift)))) + tanh(quart(redshift)))"
11,0.084011845,"(cosh(cube(sinh(pow_abs(9.638567e-6, redshift)))) + tanh(cube(cube(redshift))))"
12,0.07004502,"(cosh(acosh_abs(square(square(sinh(pow_abs(9.290196e-11, redshift)))))) + cube(tanh(redshift)))"
13,0.06594535,"(cosh(cube(sinh(pow_abs(-9.539988e-5, redshift)) * 1.0231941)) + quart(tanh(quart(redshift))))"
14,0.063006155,"(cosh(acosh_abs(acosh_abs(cube(square(sinh(pow_abs(2.4397422e-15, redshift))))))) + cube(tanh(cube(redshift))))"
16,0.06286339,"(cosh(acosh_abs(acosh_abs(square(cube(sinh(pow_abs(5.607055e-11, redshift))))))) + tanh(quart(log1p_abs(acosh_abs(quart(redshift))))))"
18,0.06178499,"(abs(cosh(acosh_abs(acosh_abs(asinh(cube(square(square(abs(sinh(pow_abs(-1.0018431e-10, redshift))))))))))) + tanh(quart(asinh(redshift))))"
19,0.06103666,"(cosh(acosh_abs(acosh_abs(asinh(cube(square(square(sinh(pow_abs(-1.0018431e-10, redshift))))))))) + abs(tanh(sinh(square(atan(quart(redshift)))))))"
