Complexity,Loss,Equation
1,0.66726047,"1.6187296"
3,0.4267698,"acosh_abs(log_abs(redshift))"
4,0.26637155,"exp(pow_abs(1.1551845e-5, redshift))"
5,0.15202375,"acosh_abs(log_abs(redshift) + 1.4387436)"
7,0.12155205,"exp(square(quart(pow_abs(tanh(redshift), redshift))))"
8,0.08581348,"exp(square(pow_abs(tanh(atan(quart(redshift))), redshift)))"
9,0.07619428,"exp(cube(pow_abs(tanh(atan(quart(redshift))), atan(redshift))))"
10,0.07461663,"exp(quart(pow_abs(asinh(tanh(quart(redshift))), atan(tanh(redshift)))))"
11,0.06903295,"exp(cube(pow_abs(asinh(tanh(quart(redshift))), atan(redshift))) / 0.9472567)"
12,0.06803051,"pow_abs(exp(quart(pow_abs(sin(tanh(quart(redshift))), log1p_abs(tanh(redshift))))), 1.1016259)"
13,0.05728127,"exp(sinh(mod(quart(pow_abs(asinh(tanh(quart(redshift))), log1p_abs(redshift))), exp(redshift))))"
14,0.053168964,"exp(sinh(mod(quart(pow_abs(asinh(tanh(quart(redshift))), log1p_abs(asinh(redshift)))), exp(redshift))))"
15,0.050834823,"pow_abs(exp(mod(quart(pow_abs(sin(tanh(quart(redshift))), log1p_abs(tanh(redshift)))), tanh(g))), 1.1016259)"
16,0.049807638,"pow_abs(exp(mod(quart(pow_abs(sin(tanh(quart(redshift))), log1p_abs(tanh(redshift)))), exp(redshift))), cube(1.0397162))"
17,0.048391085,"pow_abs(exp(mod(quart(pow_abs(sin(tanh(quart(mod(redshift, r)))), log1p_abs(atan(redshift)))), tanh(r))), 1.1016259)"
18,0.04767124,"pow_abs(exp(mod(quart(pow_abs(sin(tanh(quart(mod(redshift, rerun_ID)))), log1p_abs(tanh(sinh(redshift))))), tanh(g))), 1.1016259)"
19,0.047590103,"pow_abs(exp(mod(quart(pow_abs(sin(tanh(quart(mod(redshift, rerun_ID)))), log1p_abs(tanh(sinh(redshift))))), tanh(quart(g)))), 1.1016259)"
