Complexity,Loss,Equation
1,643.6223,"30.168295"
3,396.2152,"(pt1 + pt2)"
5,392.56183,"((pt1 + 1.9129264) + pt2)"
6,379.7323,"((pt1 + pt2) + square(eta2))"
8,359.89374,"((pt1 + pt2) + log_abs(mod(eta2, pz1)))"
9,301.57144,"((pt1 + pt2) + log_abs(quart(eta2 - eta1)))"
10,168.71289,"((pt1 + pt2) + log_abs(pow_abs(0.00020330626, eta2 * eta1)))"
11,162.11034,"abs((pt1 + pt2) + log_abs(pow_abs(0.00020330626, eta2 * eta1)))"
12,141.10625,"((pt1 + pt2) + log_abs(pow_abs(2.1498345e-5, eta2 * eta1) + 0.00062466646))"
13,136.21066,"((pt1 - (10.640633 - pt2)) + log1p_abs(cube(quart(cosh(eta2 - eta1)))))"
14,135.84845,"abs((pt1 - (10.640633 - pt2)) + log1p_abs(cube(quart(cosh(eta2 - eta1)))))"
15,135.71599,"(((pt1 + -1.2984372) - (9.822466 - pt2)) + asinh(cube(quart(cosh(eta2 - eta1)))))"
16,134.93028,"abs((pt1 - (10.640633 - pt2)) + log1p_abs(cube(quart(cosh(eta2 - eta1) - 0.22374451))))"
17,134.27698,"(((pt1 + pt2) + log_abs(square(pow_abs(-0.0063978704, eta2 * eta1) - -0.055791833))) - pow_abs(-1.0299503, pt2))"
18,134.16376,"abs(((pt1 + pt2) + log_abs(square(pow_abs(-0.0063978704, eta2 * eta1) - -0.055791833))) - pow_abs(-1.0299503, pt2))"
19,132.94087,"((((pt1 + pt2) + log1p_abs(quart(cube(sinh((eta2 - eta1) / -0.93621385))))) + inv(-0.1658883)) + inv(-0.1658883))"
20,132.86214,"((((pt1 + pt2) + log1p_abs(quart(cube(sinh((eta2 - eta1) / -0.93621385))))) + inv(sinh(-0.1658883))) + inv(-0.1658883))"
