Complexity,Loss,Equation
1,637.9369,"30.014082"
3,390.6609,"(pt1 + pt2)"
5,387.5462,"((pt1 + pt2) + 1.7650527)"
6,370.87827,"(sqrt_abs(E2 * pt1) + 12.335844)"
8,290.92017,"(pt1 + sqrt_abs(mod(eta2, pz1) * E2))"
9,277.24274,"(pt1 + sqrt_abs(mod(tanh(pz2), pz1) * E2))"
11,187.86102,"(sqrt_abs(E2 * pt1) + sqrt_abs(mod(eta2, pz1) * E2))"
12,121.29864,"(sqrt_abs(E2 * pt1) + sqrt_abs(mod(inv(pz2), pz1) * E2))"
13,110.30574,"(sqrt_abs(E2 * pt1) + sqrt_abs(mod(cube(inv(eta2)), pz1) * E2))"
14,86.42643,"(sqrt_abs(E2 * pt1) + sqrt_abs((mod(inv(pz2), pz1) * E2) / 0.5037599))"
15,73.02352,"(sqrt_abs(E2 * pt1) + sqrt_abs(mod(cube(inv(eta2)), pz1) * (E2 + E2)))"
16,67.21564,"(sqrt_abs(E2 * pt1) + sqrt_abs(mod(cube(inv(sinh(eta2))), pz1) * (E2 + E2)))"
17,65.23097,"(sqrt_abs(E2 * pt1) + sqrt_abs((mod(inv(sinh(cube(eta2))), pz1) / inv(E2)) / 0.50354546))"
18,65.20236,"(sqrt_abs(E2 * pt1) + sqrt_abs((mod(inv(sinh(cube(eta2))), pz1) / tan(inv(E2))) / 0.50354546))"
19,65.020515,"(sqrt_abs(E2 * pt1) + sqrt_abs((mod(inv(sinh(cube(eta2))), pz1) / tan(inv(E2))) / asinh(0.50354546)))"
